date,open,close,high,low,volume,amount
2024-04-15,3473.505,3549.076,3552.413,3473.505,18394125000,0
2024-04-16,3533.364,3511.115,3545.503,3503.616,17615306500,0
2024-04-17,3509.132,3565.403,3565.939,3498.032,16846639800,0
2024-04-18,3550.556,3569.802,3602.79,3547.6,17857410500,0
2024-04-19,3550.609,3541.662,3560.949,3529.324,14728150500,0
2024-04-22,3536.184,3530.905,3558.164,3528.019,15057904200,0
2024-04-23,3525.668,3506.225,3533.758,3499.984,14311350400,0
2024-04-24,3514.011,3521.622,3524.537,3495.649,12173985100,0
2024-04-25,3510.64,3530.281,3543.97,3505.2,11518772200,0
2024-04-26,3531.965,3584.269,3588.4,3531.965,19721613300,0
2024-04-29,3584.543,3623.912,3645.823,3578.76,22272138100,0
2024-04-30,3619.259,3604.394,3630.709,3604.394,19129689900,0
2024-05-06,3654.049,3657.877,3668.257,3645.738,20801800700,0
2024-05-07,3657.001,3659.008,3665.684,3648.376,16483428600,0
2024-05-08,3650.748,3630.223,3650.936,3628.698,13003533600,0
2024-05-09,3630.414,3664.561,3669.759,3630.414,14655901700,0
2024-05-10,3669.087,3666.277,3674.609,3641.764,15072053600,0
2024-05-13,3646.349,3664.691,3673.621,3634.605,15726745500,0
2024-05-14,3668.225,3657.045,3675.776,3646.709,13340649000,0
2024-05-15,3651.054,3626.056,3656.528,3624.002,12352276400,0
2024-05-16,3636.601,3640.359,3657.483,3626.334,15463050300,0
2024-05-17,3638.561,3677.97,3677.97,3627.447,16457041700,0
2024-05-20,3682.062,3690.962,3703.029,3677.443,18460942300,0
2024-05-21,3682.287,3676.161,3684.611,3665.152,13067828300,0
2024-05-22,3675.647,3684.451,3691.88,3667.089,15191460500,0
2024-05-23,3672.84,3641.792,3674.365,3633.505,14257299000,0
2024-05-24,3630.827,3601.475,3650.873,3599.668,12479117700,0
2024-05-27,3606.645,3635.708,3638.151,3603.713,13127264400,0
2024-05-28,3633.254,3609.172,3638.97,3605.921,12353223800,0
2024-05-29,3609.071,3613.522,3633.197,3602.82,11590632100,0
2024-05-30,3607.052,3594.312,3624.035,3586.754,12260299500,0
2024-05-31,3599.82,3579.925,3614.644,3579.925,11246201900,0
2024-06-03,3577.38,3588.748,3600.604,3567.871,14105459100,0
2024-06-04,3583.81,3615.671,3622.501,3580.277,12454509600,0
2024-06-05,3610.36,3594.794,3623.323,3594.106,11090676600,0
2024-06-06,3602.155,3592.245,3625.011,3584.171,13789351700,0
2024-06-07,3594.634,3574.114,3603.07,3552.085,13110302600,0
2024-06-11,3555.819,3542.877,3565.311,3525.895,13452230600,0
2024-06-12,3539.095,3544.123,3551.171,3531.566,12281372900,0
2024-06-13,3548.216,3526.131,3551.077,3520.18,12324546200,0
2024-06-14,3514.8,3541.533,3547.147,3503.523,17151694200,0
2024-06-17,3521.437,3536.199,3540.793,3520.738,13743343800,0
2024-06-18,3533.488,3545.59,3551.709,3532.785,12367183800,0
2024-06-19,3543.36,3528.749,3543.36,3524.845,10664279700,0
2024-06-20,3525.169,3503.282,3533.987,3500.131,11161739600,0
2024-06-21,3496.343,3495.62,3505.512,3473.828,10918661500,0
2024-06-24,3473.639,3476.81,3505.775,3471.216,11799018400,0
2024-06-25,3475.165,3457.902,3483.219,3440.646,11844811800,0
2024-06-26,3451.539,3480.265,3487.396,3442.298,10589886100,0
2024-06-27,3467.289,3454.118,3471.142,3452.578,11491810100,0
2024-06-28,3443.674,3461.657,3484.678,3443.674,13540915300,0
2024-07-01,3458.264,3478.183,3479.955,3443.809,12182977000,0
2024-07-02,3472.453,3471.786,3488.319,3464.524,12165012100,0
2024-07-03,3471.556,3463.414,3478.705,3454.994,10385710800,0
2024-07-04,3468.296,3445.813,3483.31,3444.928,10442990900,0
2024-07-05,3443.359,3431.061,3451.039,3399.669,11660965900,0
2024-07-08,3420.803,3401.76,3428.042,3395.912,11552821800,0
2024-07-09,3396.804,3439.811,3448.928,3384.809,13162944300,0
2024-07-10,3425.882,3428.966,3447.505,3423.648,12720345600,0
2024-07-11,3451.044,3468.169,3473.984,3438.118,14589246600,0
2024-07-12,3459.956,3472.401,3479.096,3457.363,13087458900,0
2024-07-15,3462.611,3476.247,3481.461,3460.792,11851708300,0
2024-07-16,3466.852,3498.283,3500.294,3464.366,12065901700,0
2024-07-17,3494.209,3501.584,3514.475,3486.223,13180206200,0
2024-07-18,3483.298,3520.931,3522.8,3475.724,12376819900,0
2024-07-19,3500.805,3539.016,3545.338,3493.073,13244797500,0
2024-07-22,3538.401,3514.925,3540.187,3494.014,13212633700,0
2024-07-23,3509.789,3439.878,3509.789,3439.878,12889766000,0
2024-07-24,3432.346,3418.166,3451.42,3408.413,12703626300,0
2024-07-25,3404.611,3399.272,3415.856,3383.799,13102224200,0
2024-07-26,3403.708,3409.293,3420.82,3388.66,12419555800,0
2024-07-29,3404.366,3390.742,3408.502,3388.844,10978778600,0
2024-07-30,3380.689,3369.382,3380.689,3352.804,10495216400,0
2024-07-31,3364.027,3442.084,3445.004,3364.027,17195917700,0
2024-08-01,3443.14,3419.267,3448.336,3419.187,13632346400,0
2024-08-02,3393.917,3384.392,3419.102,3380.965,11661525500,0
2024-08-05,3362.112,3343.321,3409.031,3343.321,14281251600,0
2024-08-06,3367.352,3342.979,3376.796,3318.625,11934027900,0
2024-08-07,3338.591,3341.489,3362.384,3329.966,9508437700,0
2024-08-08,3332.428,3342.937,3364.786,3320.843,9249569500,0
2024-08-09,3358.128,3331.627,3366.669,3331.627,9151162600,0
2024-08-12,3327.556,3325.865,3338.077,3319.891,7993875400,0
2024-08-13,3328.014,3334.39,3335.014,3310.191,8448967900,0
2024-08-14,3332.787,3309.239,3332.787,3309.1,7874240700,0
2024-08-15,3301.446,3341.953,3356.764,3297.971,10476639900,0
2024-08-16,3342.035,3345.634,3356.907,3335.624,9651908300,0
2024-08-19,3344.261,3356.968,3375.962,3343.712,10557111000,0
2024-08-20,3361.639,3332.703,3362.334,3321.64,10166833100,0
2024-08-21,3322.913,3321.635,3339.443,3307.992,8995475100,0
2024-08-22,3322.872,3313.136,3327.696,3305.245,10036650400,0
2024-08-23,3305.931,3327.191,3336.241,3305.64,8952577400,0
2024-08-26,3330.718,3324.223,3336.527,3311.57,9399077200,0
2024-08-27,3315.686,3305.334,3320.567,3299.564,9580815700,0
2024-08-28,3298.909,3286.496,3305.35,3274.588,9269665000,0
2024-08-29,3273.541,3277.681,3290.786,3269.529,13070233300,0
2024-08-30,3273.753,3321.432,3351.625,3273.65,18869544300,0
2024-09-02,3307.543,3265.011,3307.763,3264.757,14761235300,0
2024-09-03,3261.741,3273.428,3281.594,3261.188,12289730600,0
